City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tanout,14.9709,8.8879,303.73,7,88,4.48,NE,1712098753
83,gebeit,21.0667,36.3167,294.97,59,0,2.49,SD,1712098753
84,albany,42.6001,-73.9662,280.39,82,100,0.45,US,1712098753
85,punta arenas,-53.15,-70.9167,277.21,75,20,7.2,CL,1712098717
86,iqaluit,63.7506,-68.5145,273.0,93,75,2.57,CA,1712098753
87,ponnani,10.767,75.9252,301.77,84,82,2.63,IN,1712098753
88,emerald,-23.5333,148.1667,298.34,74,0,3.86,AU,1712098731
89,ushuaia,-54.8,-68.3,277.96,75,75,4.12,AR,1712098652
90,tegueste,28.5167,-16.3167,289.81,92,20,4.02,ES,1712098754
91,susanville,40.4163,-120.653,294.07,39,0,2.57,US,1712098628
92,jiaojiang,28.6803,121.4428,292.29,94,92,2.29,CN,1712098754
93,kapa'a,22.0752,-159.319,299.33,70,75,7.72,US,1712098754
94,thompson,55.7435,-97.8558,275.24,64,75,0.0,CA,1712098754
95,praia da vitoria,38.7333,-27.0667,290.29,82,40,9.13,PT,1712098754
96,dinguiraye,11.3,-10.7167,307.21,25,65,0.84,GN,1712098754
97,svobodnyy,51.4,128.1333,273.02,67,27,4.42,RU,1712098754
98,mulayjah,27.271,48.4242,295.82,33,35,2.53,SA,1712098754
99,sonoita,31.85,-112.8333,295.48,25,2,4.09,MX,1712098754
100,igarka,67.4667,86.5833,268.74,96,100,7.57,RU,1712098754
101,chonchi,-42.6128,-73.8092,280.66,89,96,2.84,CL,1712098754
102,geraldton,-28.7667,114.6,296.38,38,75,8.23,AU,1712098755
103,bodaybo,57.8506,114.1933,262.97,97,99,0.6,RU,1712098584
104,atafu village,-8.5421,-172.5159,302.4,72,69,1.14,TK,1712098755
105,kazerun,29.6195,51.6541,290.43,56,44,1.29,IR,1712098755
106,opuwo,-18.0607,13.84,293.69,60,52,0.41,NA,1712098467
107,walvis bay,-22.9575,14.5053,288.76,88,1,2.06,NA,1712098755
108,nur-sultan,51.1801,71.446,272.12,100,100,2.0,KZ,1712098741
109,jogindarnagar,31.9833,76.7667,288.55,43,89,2.91,IN,1712098755
110,isafjordur,66.0755,-23.124,267.49,75,10,2.58,IS,1712098755
111,nanao,37.05,136.9667,283.86,70,100,1.46,JP,1712098755
112,oyon,-10.6681,-76.7731,282.87,95,99,1.08,PE,1712098755
113,labasa,-16.4167,179.3833,303.44,71,50,5.47,FJ,1712098755
114,anadyr,64.75,177.4833,264.43,85,20,14.0,RU,1712098599
115,wynyard,-41.0,145.7167,284.69,56,21,3.8,AU,1712098756
116,nuuk,64.1835,-51.7216,272.49,74,18,4.12,GL,1712098756
117,ilulissat,69.2167,-51.1,264.51,91,100,1.01,GL,1712098756
118,bayanhongor,46.7167,100.1167,270.34,51,100,0.79,MN,1712098756
119,rongelap,11.1635,166.8941,299.85,81,100,7.8,MH,1712098756
120,sen monorom,12.45,107.2,293.47,85,30,1.52,KH,1712098756
121,tazovsky,67.4667,78.7,269.71,96,100,7.34,RU,1712098756
122,ancud,-41.8697,-73.8203,283.47,76,67,6.97,CL,1712098756
123,port mathurin,-19.6833,63.4167,299.73,82,100,6.88,MU,1712098756
124,lihue,21.9789,-159.3672,298.92,69,75,7.72,US,1712098756
125,rafsanjan,30.4067,55.9939,286.56,43,2,0.53,IR,1712098757
126,cimitarra,6.3142,-73.9497,298.78,93,99,0.79,CO,1712098757
127,ouesso,1.6136,16.0517,297.56,82,100,1.34,CG,1712098757
128,zhaqsy,51.9083,67.3133,271.65,93,90,2.77,KZ,1712098757
129,haiku-pauwela,20.9219,-156.3051,299.35,69,40,10.29,US,1712098757
130,gazli,40.1333,63.45,284.8,44,42,3.47,UZ,1712098757
131,aketi,2.7388,23.7833,294.94,93,96,1.15,CD,1712098757
132,kayes,14.0,-11.0,310.85,13,3,1.13,ML,1712098757
133,los palacios,22.5872,-83.2486,300.06,73,67,4.45,CU,1712098757
134,udachny,66.4167,112.4,262.57,87,100,6.78,RU,1712098757
135,lerwick,60.1545,-1.1494,278.15,61,100,12.78,GB,1712098758
136,polyarnyy,69.1989,33.4478,254.68,99,26,3.62,RU,1712098758
